fecha,ventas,region,pib,desempleo,confianza_consumidor,inflacion,categoria_producto,canal_venta
2020-01-01,925.9346259123973,Norte,,,97.83896278609168,,Electrónica,Online
2020-01-02,1002.2152719981084,Norte,,,96.31024645199986,,Ropa,Online
2020-01-03,1182.0178812803674,Norte,,,94.55711383009648,,Libros,Distribuidor
2020-01-04,1115.2863518025142,Norte,,,95.4709623085889,,Alimentos,Online
2020-01-05,1068.894191946687,Norte,,,105.0042712959956,,Libros,Marketplace
2020-01-06,1036.266570436868,Norte,,,97.0926367572808,,Hogar,Tienda Física
2020-01-07,983.5679707702251,Norte,,,110.80826292049214,,Hogar,Marketplace
2020-01-08,1063.489377528988,Norte,,,100.20863101101078,,Deportes,Online
2020-01-09,1081.9088607690626,Norte,,,98.84940555488953,,Deportes,Tienda Física
2020-01-10,1216.2831876946666,Norte,,,105.44842174453869,,Ropa,Tienda Física
2020-01-11,1232.4319804140493,Norte,,,110.49928706578596,,Alimentos,Marketplace
2020-01-12,992.8549751003129,Norte,,,99.27015961067046,,Libros,Marketplace
2020-01-13,1164.4154883766237,Norte,,,102.76303769388942,,Hogar,Marketplace
2020-01-14,1145.4183387162286,Norte,,,105.74838822224211,,Ropa,Marketplace
2020-01-15,1134.9680989343758,Norte,,,111.37044142433679,,Hogar,Distribuidor
2020-01-16,1195.5822161316946,Norte,,,92.21596956608107,,Electrónica,Distribuidor
2020-01-17,1128.0256583497721,Norte,,,99.64762622297653,,Electrónica,Tienda Física
2020-01-18,941.0428242409471,Norte,,,109.51775378092219,,Deportes,Tienda Física
2020-01-19,962.2450382892657,Norte,,,110.36935109199659,,Deportes,Distribuidor
2020-01-20,987.0762797624337,Norte,,,98.19353824577823,,Libros,Distribuidor
2020-01-21,1060.0330249224266,Norte,,,115.91881683654977,,Libros,Distribuidor
2020-01-22,880.5753330477976,Norte,,,108.38091549606071,,Libros,Online
2020-01-23,1059.0375649182658,Norte,,,109.04432273195158,,Electrónica,Tienda Física
2020-01-24,1126.7971814185212,Norte,,,114.17013781583387,,Ropa,Marketplace
2020-01-25,982.3548129695662,Norte,,,101.02104730042787,,Hogar,Online
2020-01-26,972.7204810621744,Norte,,,113.79615509208388,,Deportes,Online
2020-01-27,983.0298617092575,Norte,,,113.53989967353957,,Ropa,Tienda Física
2020-01-28,1151.540274794727,Norte,,,110.12107383191136,,Libros,Tienda Física
2020-01-29,1043.00093394545,Norte,,,105.3288742954856,,Electrónica,Marketplace
2020-01-30,1096.7901820966956,Norte,,7.999076678034639,111.17058530207527,,Hogar,Marketplace
2020-01-31,1264.7528354452352,Norte,,8.013665862449031,105.03171611229904,,Hogar,Online
2020-02-01,1174.3737526959321,Norte,,8.021097216351858,115.1851025956318,,Libros,Online
2020-02-02,1072.520414671358,Norte,,8.055806220190997,111.84100265171442,,Hogar,Tienda Física
2020-02-03,1224.6380498110534,Norte,,8.078356492465177,114.88002430578493,,Electrónica,Distribuidor
2020-02-04,1235.9607656938292,Norte,,8.104415384051666,116.00433610961275,,Ropa,Marketplace
2020-02-05,1324.748358910277,Norte,,8.111786731168916,119.65107101596377,,Alimentos,Tienda Física
2020-02-06,1479.9226700507022,Norte,,8.118641319878416,113.8816264401211,,Electrónica,Tienda Física
2020-02-07,1325.7587333449542,Norte,,8.116755511738448,115.2835300346531,,Deportes,Marketplace
2020-02-08,1224.867974722866,Norte,,8.14563421276183,112.30467904171776,,Deportes,Tienda Física
2020-02-09,1220.912913597751,Norte,,8.150207191982343,107.42921770511815,,Alimentos,Distribuidor
2020-02-10,1816.42776481851,Norte,,8.188916003705035,116.80917387110969,,Libros,Distribuidor
2020-02-11,2119.5316067725917,Norte,,8.217096564229369,109.69017395565614,,Alimentos,Tienda Física
2020-02-12,2158.179826991352,Norte,,8.212732380308307,113.73344062675633,,Deportes,Tienda Física
2020-02-13,2255.4663587034597,Norte,,8.219298011995155,114.84084100739564,,Libros,Tienda Física
2020-02-14,2132.5606971497978,Norte,,8.211472743291175,115.55527356925333,,Electrónica,Marketplace
2020-02-15,2184.6655049423016,Norte,,8.213861481653183,113.40267547875976,,Electrónica,Online
2020-02-16,1336.19692021136,Norte,,8.216270381121143,115.4478004617353,,Electrónica,Online
2020-02-17,1060.0475158624688,Norte,,8.196984964392625,105.99474281461916,,Deportes,Tienda Física
2020-02-18,1231.1613960546642,Norte,,8.175917928257844,108.95749514324095,,Deportes,Online
2020-02-19,1180.115843381507,Norte,,8.170478504033849,105.4278325387989,,Libros,Distribuidor
2020-02-20,1265.30262507061,Norte,,8.135848156337923,110.00734282499113,,Ropa,Distribuidor
2020-02-21,1151.64769356209,Norte,,8.16895175175965,106.46671384600305,,Libros,Distribuidor
2020-02-22,1554.834988380537,Norte,,8.165765294291152,116.69965594720694,,Deportes,Marketplace
2020-02-23,1555.3556116942138,Norte,,8.213820080525881,113.29683025630868,,Ropa,Marketplace
2020-02-24,1495.0637600637313,Norte,,8.221487476836803,111.01327928752224,,Electrónica,Distribuidor
2020-02-25,1666.7993008504786,Norte,,8.242221756801266,114.94184141786518,,Deportes,Tienda Física
2020-02-26,1543.0773412242202,Norte,,8.230337007987861,117.36367658314633,,Electrónica,Tienda Física
2020-02-27,1832.1691968709495,Norte,,8.266932582601065,120.9710206089724,,Hogar,Distribuidor
2020-02-28,1636.0355850220153,Norte,,8.304094864877486,117.78798251739498,,Ropa,Online
2020-02-29,1337.1076466451211,Norte,,8.302433251062915,114.39951195333396,,Alimentos,Tienda Física
2020-03-01,1281.7584281855798,Norte,,8.302875637913063,116.04416580177883,,Ropa,Marketplace
2020-03-02,1209.108417518007,Norte,,8.303730675266205,111.6169001772637,,Hogar,Distribuidor
2020-03-03,1314.4549458498238,Norte,,8.31466951446019,128.2565622606275,,Ropa,Marketplace
2020-03-04,1307.0443604618567,Norte,,8.31865148003617,113.84387791707005,,Hogar,Marketplace
2020-03-05,1458.6161130912838,Norte,,8.347184909197145,120.64402409279873,,Ropa,Marketplace
2020-03-06,1389.7226632844172,Norte,,8.35667179534279,122.23994374457124,,Ropa,Online
2020-03-07,1324.1232681525769,Norte,,8.372626439381543,115.49900009341529,,Deportes,Marketplace
2020-03-08,1213.0926511127363,Norte,,8.39001904888946,116.37509800573821,,Hogar,Distribuidor
2020-03-09,1376.611055310626,Norte,,8.396322734813408,119.07908666763966,,Electrónica,Distribuidor
2020-03-10,1377.4342371393689,Norte,,8.40788560761513,110.04366817215902,,Libros,Tienda Física
2020-03-11,1335.0774097892809,Norte,,8.386531075873581,114.62308832641546,,Libros,Marketplace
2020-03-12,1539.654965726651,Norte,,8.394920461709253,114.5549054034703,,Deportes,Online
2020-03-13,1486.6851127520058,Norte,,8.390539557992657,111.89454564502965,,Hogar,Marketplace
2020-03-14,1430.6282081888978,Norte,,8.431206734423608,126.23900533032119,,Libros,Tienda Física
2020-03-15,1511.091320664677,Norte,,8.43173729199126,126.22246101414498,,Electrónica,Tienda Física
2020-03-16,1218.5130886856243,Norte,,8.435275305275653,130.1965207373548,,Libros,Online
2020-03-17,1181.5743818153528,Norte,,8.44357146879605,119.93139132411194,,Libros,Marketplace
2020-03-18,,Norte,,8.46469680004526,118.00297776811061,,Alimentos,Distribuidor
2020-03-19,1136.6002744980833,Norte,,8.506302975958217,107.56925897890795,,Alimentos,Marketplace
2020-03-20,1257.0591322224545,Norte,,8.552148981012872,119.68835517185137,,Alimentos,Distribuidor
2020-03-21,1374.697878587831,Norte,,8.588575769246145,122.80505587302572,,Alimentos,Tienda Física
2020-03-22,1297.0243760407109,Norte,,8.58930962606332,126.81694590336896,,Hogar,Marketplace
2020-03-23,1301.8021797974209,Norte,,8.606321380584411,118.71482053872576,,Libros,Marketplace
2020-03-24,1315.8022943110402,Norte,,8.58997474556484,125.01279636668332,,Libros,Tienda Física
2020-03-25,1193.7204619807171,Norte,,8.611585676241065,119.99807997492422,,Electrónica,Tienda Física
2020-03-26,1121.9706259670381,Norte,,8.572705651434209,117.98884532621109,,Ropa,Online
2020-03-27,1248.952333245276,Norte,,8.602215572942841,116.55614511417795,,Alimentos,Tienda Física
2020-03-28,1136.301199438546,Norte,,8.58514191060863,116.87739035624597,,Deportes,Distribuidor
2020-03-29,1275.4208601391092,Norte,,8.581721488688448,118.88970716681891,,Hogar,Tienda Física
2020-03-30,1304.9470156295104,Norte,100.83626059218983,8.599210340535397,126.67559596779141,3.350556182560331,Deportes,Tienda Física
2020-03-31,1389.8312887597904,Norte,100.78818425159582,8.61314888630098,124.56071227224342,3.358596660466195,Alimentos,Distribuidor
2020-04-01,1363.37619252813,Norte,100.79910989048958,8.635165420266434,117.23422213873378,3.363748246411886,Hogar,Online
